日時,工場,機械名,機械番号,追加量L,回収量kg,回収量L,回転数,回収率%,記録者
2025-10-23T15:50:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.7,6.1,2,,佐藤
2025-10-03T10:00:00.000Z,亀山工場,QDF-151R,1,0,2.1,2.8,1,,鈴木
2025-10-07T13:30:00.000Z,亀山工場,QDF-151R,1,0,2.1,2.8,1,,佐藤
2025-10-12T10:00:00.000Z,亀山工場,QDF-151R,1,0,2.2,2.9,1,,鈴木
2025-10-15T12:50:00.000Z,亀山工場,QDF-151R,1,0,2.1,2.7,1,,鈴木
2025-10-19T10:30:00.000Z,亀山工場,QDF-151R,1,0,1.9,2.5,1,,田中
2025-10-23T16:20:00.000Z,亀山工場,QDF-151R,1,0,2.2,2.9,1,,田中
2025-11-04T14:40:00.000Z,亀山工場,TOSEI HRD-301S,1,251,14.8,19.1,4,7.6,鈴木
2025-11-07T14:30:00.000Z,亀山工場,TOSEI HRD-301S,1,0,12.4,16,4,,佐藤
2025-11-12T13:20:00.000Z,亀山工場,TOSEI HRD-301S,1,0,11.9,15.3,4,,佐藤
2025-11-15T11:40:00.000Z,亀山工場,TOSEI HRD-301S,1,191,14,18,5,9.4,鈴木
2025-11-19T11:20:00.000Z,亀山工場,TOSEI HRD-301S,1,0,11.5,14.8,4,,鈴木
2025-11-24T13:10:00.000Z,亀山工場,TOSEI HRD-301S,1,0,14.5,18.6,4,,佐藤
2025-11-03T11:10:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.7,11.2,4,,田中
2025-11-08T15:50:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.2,11.9,3,,鈴木
2025-11-12T15:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.5,11,4,,田中
2025-11-15T13:50:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.9,14,3,,田中
2025-11-20T09:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.8,11.4,4,,田中
2025-11-24T10:20:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.1,11.7,4,,佐藤
2025-11-03T15:30:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.5,8.4,3,,佐藤
2025-11-08T12:20:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.3,8.1,4,,鈴木
2025-11-12T13:40:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7,9,4,,佐藤
2025-11-16T12:40:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.2,9.3,4,,鈴木
2025-11-20T12:40:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.2,9.3,3,,佐藤
2025-11-24T14:50:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.7,8.6,3,,佐藤
2025-11-03T14:30:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.1,7.9,3,,田中
2025-11-07T15:00:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.7,8.6,3,,佐藤
2025-11-12T16:00:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.9,7.6,3,,佐藤
2025-11-15T09:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.4,8.3,2,,田中
2025-11-20T16:40:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.6,7.3,3,,佐藤
2025-11-24T11:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.7,8.7,3,,鈴木
2025-11-03T16:50:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.3,5.6,2,,佐藤
2025-11-08T15:40:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.8,6.2,3,,田中
2025-11-11T15:10:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.9,6.3,2,,鈴木
2025-11-16T13:10:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.8,6.2,2,,佐藤
2025-11-19T15:30:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5.1,6.6,2,,佐藤
2025-11-24T11:20:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.7,6.1,2,,鈴木
2025-11-03T11:40:00.000Z,亀山工場,QDF-151R,1,0,1.9,2.5,2,,佐藤
2025-11-07T13:30:00.000Z,亀山工場,QDF-151R,1,0,2.3,3,1,,鈴木
2025-11-12T09:20:00.000Z,亀山工場,QDF-151R,1,0,2.1,2.7,2,,田中
2025-11-15T12:50:00.000Z,亀山工場,QDF-151R,1,0,2.3,3,1,,佐藤
2025-11-20T16:10:00.000Z,亀山工場,QDF-151R,1,0,2.1,2.7,1,,佐藤
2025-11-23T11:10:00.000Z,亀山工場,QDF-151R,1,0,2.4,3.2,1,,佐藤
2025-12-03T09:40:00.000Z,亀山工場,TOSEI HRD-301S,1,257,14.7,18.9,4,7.3,佐藤
2025-12-07T15:30:00.000Z,亀山工場,TOSEI HRD-301S,1,0,14.2,18.3,4,,佐藤
2025-12-12T14:20:00.000Z,亀山工場,TOSEI HRD-301S,1,0,13.2,17,5,,田中
2025-12-15T14:50:00.000Z,亀山工場,TOSEI HRD-301S,1,217,12.9,16.6,5,7.6,鈴木
2025-12-20T09:40:00.000Z,亀山工場,TOSEI HRD-301S,1,0,15.3,19.7,4,,田中
2025-12-24T13:30:00.000Z,亀山工場,TOSEI HRD-301S,1,0,13.9,17.9,4,,田中
2025-12-04T16:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.4,13.4,4,,佐藤
2025-12-07T11:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.2,13.1,3,,田中
2025-12-11T12:40:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.5,13.5,4,,鈴木
2025-12-16T15:50:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.6,12.4,3,,田中
2025-12-19T11:20:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.9,14.1,3,,佐藤
2025-12-24T15:40:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.1,11.7,4,,鈴木
2025-12-04T15:30:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.9,8.9,3,,佐藤
2025-12-07T14:50:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.4,9.5,4,,佐藤
2025-12-12T12:10:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.8,10.1,3,,田中
2025-12-16T12:10:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.4,8.3,3,,佐藤
2025-12-19T09:40:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.3,8.1,3,,佐藤
2025-12-23T10:20:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.9,10.2,3,,佐藤
2025-12-04T12:10:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.6,8.5,2,,鈴木
2025-12-07T16:30:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.4,8.3,3,,佐藤
2025-12-12T16:10:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,7,9,3,,鈴木
2025-12-15T13:10:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.4,8.3,3,,田中
2025-12-19T10:40:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.7,7.4,3,,佐藤
2025-12-23T11:30:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.8,8.8,3,,田中
2025-12-03T11:20:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5.3,6.9,2,,佐藤
2025-12-08T15:00:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.6,5.9,2,,佐藤
2025-12-11T15:50:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.6,5.9,2,,田中
2025-12-16T16:10:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.8,6.2,2,,田中
2025-12-19T11:30:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5.6,7.2,2,,佐藤
2025-12-23T14:20:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.8,6.2,2,,田中
2025-12-03T16:00:00.000Z,亀山工場,QDF-151R,1,0,2.3,3,1,,鈴木
2025-12-08T10:20:00.000Z,亀山工場,QDF-151R,1,0,2.3,3,2,,鈴木
2025-12-11T10:10:00.000Z,亀山工場,QDF-151R,1,0,2.2,2.9,1,,田中
2025-12-15T15:40:00.000Z,亀山工場,QDF-151R,1,0,2.3,3,1,,佐藤
2025-12-20T11:30:00.000Z,亀山工場,QDF-151R,1,0,2,2.6,1,,佐藤
2025-12-23T11:20:00.000Z,亀山工場,QDF-151R,1,0,2.2,2.9,1,,佐藤
2026-01-04T11:30:00.000Z,亀山工場,TOSEI HRD-301S,1,252,11,14.2,4,5.6,鈴木
2026-01-08T12:00:00.000Z,亀山工場,TOSEI HRD-301S,1,0,13.3,17.1,4,,田中
2026-01-11T13:00:00.000Z,亀山工場,TOSEI HRD-301S,1,0,11.3,14.6,4,,佐藤
2026-01-16T12:40:00.000Z,亀山工場,TOSEI HRD-301S,1,192,13.6,17.5,5,9.1,鈴木
2026-01-19T14:40:00.000Z,亀山工場,TOSEI HRD-301S,1,0,13.1,16.9,4,,鈴木
2026-01-23T10:40:00.000Z,亀山工場,TOSEI HRD-301S,1,0,12.7,16.4,4,,佐藤
2026-01-04T16:10:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.5,10.9,4,,田中
2026-01-08T13:50:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.9,12.8,3,,鈴木
2026-01-11T15:50:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.3,12,4,,田中
2026-01-15T14:10:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.5,10.9,3,,鈴木
2026-01-19T10:40:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.6,13.6,3,,鈴木
2026-01-24T16:40:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.3,13.3,4,,田中
2026-01-03T14:50:00.000Z,亀山工場,TOSEI HRD-301S,3,0,5.9,7.6,3,,佐藤
2026-01-07T16:20:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.4,8.3,4,,鈴木
2026-01-12T16:00:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.9,8.9,3,,田中
2026-01-15T11:00:00.000Z,亀山工場,TOSEI HRD-301S,3,0,5.5,7.1,3,,佐藤
2026-01-19T13:50:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.3,8.1,3,,佐藤
2026-01-23T13:50:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.9,8.9,4,,鈴木
2026-01-04T13:40:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.3,8.1,3,,佐藤
2026-01-07T16:20:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.2,6.7,2,,佐藤
2026-01-11T14:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.6,8.5,3,,鈴木
2026-01-15T14:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.2,8,3,,佐藤
2026-01-19T16:10:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.4,7,3,,鈴木
2026-01-23T16:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.7,8.6,3,,田中
2026-01-04T14:00:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.2,5.5,3,,佐藤
2026-01-07T15:10:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.8,6.2,2,,田中
2026-01-11T14:50:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5.2,6.7,2,,田中
2026-01-16T11:00:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,3.9,5.1,2,,鈴木
2026-01-20T16:40:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,3.9,5.1,2,,鈴木
2026-01-24T12:20:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.5,5.8,2,,田中
2026-01-03T13:40:00.000Z,亀山工場,QDF-151R,1,0,1.9,2.5,1,,鈴木
2026-01-07T13:20:00.000Z,亀山工場,QDF-151R,1,0,1.7,2.3,1,,田中
2026-01-12T11:00:00.000Z,亀山工場,QDF-151R,1,0,1.8,2.4,1,,田中
2026-01-15T13:40:00.000Z,亀山工場,QDF-151R,1,0,2,2.6,1,,鈴木
2026-01-19T11:20:00.000Z,亀山工場,QDF-151R,1,0,1.8,2.4,1,,田中
2026-01-24T12:10:00.000Z,亀山工場,QDF-151R,1,0,2.1,2.8,1,,鈴木
2026-02-03T11:10:00.000Z,亀山工場,TOSEI HRD-301S,1,268,14.9,19.2,5,7.1,鈴木
2026-02-07T10:10:00.000Z,亀山工場,TOSEI HRD-301S,1,0,14.2,18.3,5,,田中
2026-02-12T15:10:00.000Z,亀山工場,TOSEI HRD-301S,1,0,11.2,14.4,3,,鈴木
2026-02-16T14:10:00.000Z,亀山工場,TOSEI HRD-301S,1,190,13.8,17.8,4,9.3,田中
2026-02-20T16:40:00.000Z,亀山工場,TOSEI HRD-301S,1,0,12,15.5,5,,鈴木
2026-02-23T11:10:00.000Z,亀山工場,TOSEI HRD-301S,1,0,13.8,17.7,4,,田中
2026-02-04T15:20:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.4,10.8,4,,佐藤
2026-02-07T11:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.9,12.7,4,,佐藤
2026-02-11T11:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.4,12.1,4,,鈴木
2026-02-15T12:40:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.9,12.7,4,,田中
2026-02-20T10:10:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.2,13.1,3,,鈴木
2026-02-24T13:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.5,11,3,,鈴木
2026-02-03T15:00:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.2,8,3,,鈴木
2026-02-07T09:10:00.000Z,亀山工場,TOSEI HRD-301S,3,0,5.1,6.6,3,,田中
2026-02-12T09:10:00.000Z,亀山工場,TOSEI HRD-301S,3,0,5.4,7,3,,田中
2026-02-16T15:20:00.000Z,亀山工場,TOSEI HRD-301S,3,0,5.8,7.5,4,,田中
2026-02-19T11:30:00.000Z,亀山工場,TOSEI HRD-301S,3,0,5.7,7.4,4,,鈴木
2026-02-23T16:20:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6.6,8.5,4,,田中
2026-02-03T12:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.9,8.9,3,,田中
2026-02-07T16:00:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6,7.8,2,,佐藤
2026-02-11T09:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.4,8.3,2,,鈴木
2026-02-16T12:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.8,7.5,3,,鈴木
2026-02-20T12:30:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.4,8.3,3,,田中
2026-02-23T10:40:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.9,7.6,3,,佐藤
2026-02-04T10:50:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.3,5.6,2,,佐藤
2026-02-07T11:00:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.3,5.6,2,,佐藤
2026-02-11T11:30:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.3,5.6,2,,佐藤
2026-02-16T09:40:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.2,5.4,3,,田中
2026-02-20T16:10:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.6,6,2,,佐藤
2026-02-23T15:00:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.9,6.4,2,,鈴木
2026-02-04T12:40:00.000Z,亀山工場,QDF-151R,1,0,2.1,2.8,2,,佐藤
2026-02-08T14:50:00.000Z,亀山工場,QDF-151R,1,0,2.1,2.8,2,,田中
2026-02-11T09:00:00.000Z,亀山工場,QDF-151R,1,0,2.4,3.1,1,,鈴木
2026-02-16T15:20:00.000Z,亀山工場,QDF-151R,1,0,1.8,2.4,1,,佐藤
2026-02-20T16:00:00.000Z,亀山工場,QDF-151R,1,0,2.3,3,2,,佐藤
2026-02-24T10:10:00.000Z,亀山工場,QDF-151R,1,0,2.3,3,1,,佐藤
2026-03-04T09:40:00.000Z,亀山工場,TOSEI HRD-301S,1,244,11.7,15.1,5,6.1,佐藤
2026-03-07T16:50:00.000Z,亀山工場,TOSEI HRD-301S,1,0,12.9,16.6,5,,佐藤
2026-03-12T09:30:00.000Z,亀山工場,TOSEI HRD-301S,1,0,14.1,18.1,4,,田中
2026-03-15T09:20:00.000Z,亀山工場,TOSEI HRD-301S,1,195,11.9,15.3,4,7.8,田中
2026-03-20T16:10:00.000Z,亀山工場,TOSEI HRD-301S,1,0,12.9,16.6,4,,田中
2026-03-24T14:50:00.000Z,亀山工場,TOSEI HRD-301S,1,0,12.1,15.6,4,,田中
2026-03-03T11:00:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.7,11.2,4,,佐藤
2026-03-08T11:00:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.5,12.2,4,,田中
2026-03-11T15:20:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.2,11.9,4,,佐藤
2026-03-15T13:10:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.9,12.8,4,,佐藤
2026-03-19T14:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.8,11.4,4,,佐藤
2026-03-23T12:10:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.4,10.8,3,,佐藤
2026-03-04T14:10:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6,7.7,3,,鈴木
2026-03-08T16:40:00.000Z,亀山工場,TOSEI HRD-301S,3,0,5.5,7.1,4,,田中
2026-03-11T14:50:00.000Z,亀山工場,TOSEI HRD-301S,3,0,5.3,6.8,3,,鈴木
2026-03-15T12:10:00.000Z,亀山工場,TOSEI HRD-301S,3,0,4.9,6.3,3,,田中
2026-03-20T13:30:00.000Z,亀山工場,TOSEI HRD-301S,3,0,6,7.7,3,,鈴木
2026-03-24T13:40:00.000Z,亀山工場,TOSEI HRD-301S,3,0,5.2,6.7,4,,鈴木
2026-03-04T15:20:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.2,6.7,3,,鈴木
2026-03-08T13:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5,6.5,2,,田中
2026-03-12T11:40:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.4,7,2,,佐藤
2026-03-15T10:30:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,4.9,6.3,3,,鈴木
2026-03-19T16:10:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6,7.7,3,,鈴木
2026-03-23T11:10:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.4,8.3,3,,佐藤
2026-03-03T11:40:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.8,6.2,2,,田中
2026-03-07T14:20:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.2,5.5,2,,田中
2026-03-12T11:50:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.1,5.3,2,,鈴木
2026-03-15T14:00:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,3.9,5.1,2,,佐藤
2026-03-20T10:20:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5,6.5,2,,鈴木
2026-03-23T14:30:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.3,5.6,2,,鈴木
2026-03-03T16:40:00.000Z,亀山工場,QDF-151R,1,0,2.3,3,1,,佐藤
2026-03-08T11:00:00.000Z,亀山工場,QDF-151R,1,0,1.7,2.3,2,,鈴木
2026-03-11T11:10:00.000Z,亀山工場,QDF-151R,1,0,1.9,2.5,1,,鈴木
2026-03-15T12:20:00.000Z,亀山工場,QDF-151R,1,0,1.8,2.4,1,,鈴木
2026-03-20T09:00:00.000Z,亀山工場,QDF-151R,1,0,1.9,2.5,1,,鈴木
2026-03-23T10:10:00.000Z,亀山工場,QDF-151R,1,0,2.1,2.8,1,,鈴木
2026-04-03T13:00:00.000Z,亀山工場,TOSEI HRD-301S,1,247,14.5,18.7,5,7.5,鈴木
2026-04-07T12:40:00.000Z,亀山工場,TOSEI HRD-301S,1,0,13.8,17.7,4,,田中
2026-04-12T16:00:00.000Z,亀山工場,TOSEI HRD-301S,1,0,14.9,19.2,4,,田中
2026-04-15T15:10:00.000Z,亀山工場,TOSEI HRD-301S,1,207,15,19.3,5,9.3,田中
2026-04-20T15:40:00.000Z,亀山工場,TOSEI HRD-301S,1,0,12.4,15.9,5,,佐藤
